,domain,availability
104,.equipment,"HTTPConnectionPool(host='www.example.equipment', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C825F048>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
105,.vig,"HTTPConnectionPool(host='www.example.vig', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C82790B8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
106,.ooo,"HTTPConnectionPool(host='www.example.ooo', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8279940>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
107,.erni,"HTTPConnectionPool(host='www.example.erni', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C828B128>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
108,.sfr,"HTTPConnectionPool(host='www.example.sfr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C828B780>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
109,.is,True
110,.xyz,"HTTPConnectionPool(host='www.example.xyz', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C82744A8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
111,.republican,"HTTPConnectionPool(host='www.example.republican', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C828B940>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
112,.香港,"HTTPConnectionPool(host='www.example.xn--j6w193g', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C829B908>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
113,.law,"HTTPConnectionPool(host='www.example.law', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C82AB0F0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
114,.food,"HTTPConnectionPool(host='www.example.food', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C82AB898>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
115,.li,"HTTPConnectionPool(host='www.example.li', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C82BA080>: Failed to establish a new connection: [Errno 11002] getaddrinfo failed'))"
116,.arpa,"HTTPConnectionPool(host='www.example.arpa', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C82BA7F0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
117,.locus,"HTTPConnectionPool(host='www.example.locus', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C82BAF98>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
118,.coop,"HTTPConnectionPool(host='www.example.coop', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C82C7780>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
119,.aw,"HTTPConnectionPool(host='www.example.aw', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C82C7F28>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
